,#iteration,L1 norm of errors(log) on nodes,L2 norm of errors(log) on nodes,planning time,execution time
0,1,22.393710872178872,168.25059442699012,315.682,21676.076
1,2,8.372747929666588,36.67106117561384,666.23,30078.398
2,3,4.983639979282881,10.015237461934166,715.216,27959.059
3,4,3.041789317044276,5.226634718497129,683.572,163548.359
4,5,5.717330557232732,14.67872524416932,629.365,23256.243
5,6,9.25016326309493,33.682669628842,662.044,30819.539
6,7,3.0115064295107317,3.384347572029923,668.563,26228.777
7,8,2.7842429574203376,2.6527823326751996,668.319,23646.162
8,9,6.06887980102936,15.955925582350071,687.001,21494.403
9,10,4.620969391388319,11.30639127417887,663.774,26843.459
10,11,4.841887090242007,11.06326224001704,725.962,22434.444
11,12,3.1237111585864605,3.5646274853157425,713.054,22968.339
12,13,2.610623648800277,2.3363535870129195,737.63,20933.233
13,14,4.259725571686584,7.64861731449588,732.623,22967.638
14,15,3.5163117241021027,4.565107268960697,734.982,21386.611
15,16,4.281610898648164,7.1501066742322195,721.688,22606.736
16,17,2.7701509359527243,3.3068153187262417,747.348,21080.996
17,18,2.674176649385821,2.3965001515106916,702.437,22662.306
18,19,2.0589856515141163,1.7236188417729017,694.109,20771.991
19,20,2.1600638289371696,1.4655946807698137,718.909,22365.712
20,21,1.7272685203264375,1.3095503629816245,708.724,20857.792
21,22,1.815597053391322,0.9814703284300923,704.645,22649.785
22,23,1.4425415594924411,0.7886490112988607,714.675,21287.682
23,24,1.483292477797292,0.617430452795027,803.847,23078.416
24,25,1.2017343109155494,0.5498249776879017,716.664,21030.816
25,26,1.230393726405289,0.4148198426910559,727.094,22885.369
26,27,1.1029017575424964,0.4211601279539431,722.256,20957.887
27,28,1.0388777913398002,0.3036826728216707,702.421,22764.815
28,29,1.0063026053383792,0.329560344279634,723.515,20841.881
29,30,0.911954101796386,0.250265059356589,706.841,22538.776
30,31,0.9342113332538594,0.27921437537633714,729.853,21028.239
31,32,0.803035390469235,0.21999988977442925,727.089,22570.672
32,33,0.8785775659953455,0.2491091534810766,693.245,20732.976
33,34,0.7266931126060568,0.20738582743377582,696.252,21126.342
34,35,1.145956430802575,0.37225353423160856,712.286,20694.524
35,36,1.0324013233031701,0.3310470861855816,684.86,22372.815
36,37,0.5803038929272296,0.18709793027735921,707.705,21354.347
37,38,0.7464954162566934,0.2065769239534063,716.811,20876.412
38,39,0.6934290465594674,0.20728321889994103,731.475,20702.009
39,40,0.6516622893790557,0.20970443714687276,704.286,20926.065
40,41,0.6792599654009289,0.20915652894859524,732.705,21007.402
41,42,0.6734966799309293,0.21154063734903983,732.047,20980.338
42,43,0.8131154117961835,0.23060481771037955,729.948,21271.469
43,44,0.9130120587260694,0.25952379679576537,709.27,21100.0
44,45,0.9302956088970323,0.2765882319697496,753.072,21721.076
45,46,0.966429379574027,0.28613585873976943,703.927,20948.715
46,47,0.9709284005842321,0.2802681568120199,715.504,21078.373
47,48,0.9757368425373921,0.2800031551068248,748.32,21161.626
48,49,0.9801210927485683,0.2795309169947272,729.808,21360.393
49,50,0.98768803523844,0.28055267224528263,730.308,21100.113
50,51,1.0110322944856396,0.28756679999898954,753.606,21319.938
51,52,1.021418412391311,0.291662198354045,713.054,21000.144
52,53,1.0228345652429125,0.29187854665932134,726.767,20423.995
53,54,1.0305097504754048,0.29482904964933976,717.435,20789.346
54,55,1.0405039038653303,0.2989023371502106,721.185,21108.95
55,56,1.0488660545737103,0.302418562988729,699.037,20656.913
56,57,1.0556594673579829,0.3053316039399658,705.916,20659.054
57,58,1.0578254707912809,0.30627818392237227,719.884,20957.915
58,59,1.0603860409440848,0.3074002735287652,722.316,21339.779
59,60,1.0616563992194719,0.3079593595700875,770.06,21188.435
60,61,1.0625086523018927,0.3083333046193028,700.363,20632.308
61,62,1.063144844025147,0.30861165759541426,701.827,21004.937
62,63,1.0630787568387339,0.30858216764426116,713.832,20844.663
63,64,1.0636310810327343,0.3088238777326748,725.245,21307.028
64,65,1.0635893366751743,0.30880526039713824,740.865,21278.59
65,66,1.0642021498175112,0.3090747267161742,739.482,20688.595
66,67,1.0642195436326176,0.3090824834221476,691.918,21117.321
67,68,1.0648684992508421,0.30936883853853775,691.327,20911.804
68,69,1.064901545688917,0.3093835790936019,727.228,21143.221
69,70,1.064931112628905,0.3093967694496818,708.116,20543.583
70,71,1.0649537220519925,0.30940685710910343,713.172,20584.75
71,72,1.064969374430067,0.30941384133860184,750.94,20887.768
72,73,1.0649780700898024,0.3094177216305869,711.411,21031.717
73,74,1.0649832874493494,0.3094200498621714,759.774,20449.756
74,75,1.0649850265631482,0.30942082594876447,705.951,20378.903
75,76,1.0649867656739236,0.30942160204005736,748.242,21141.405
76,77,1.0649867656739236,0.30942160204005736,748.805,21106.767
77,78,1.0649885047816756,0.30942237813605,707.503,21260.09
78,79,1.0649885047816756,0.30942237813605,747.664,20907.187
79,80,1.0649902438864007,0.3094231542367409,683.049,20195.224
80,81,1.0649919829881025,0.30942393034213145,714.932,20535.509
81,82,1.064993722086781,0.30942470645222175,735.967,20521.218
82,83,1.0649954611824324,0.30942548256701013,704.826,20488.957
83,84,1.0649972002750623,0.309426258686499,718.473,20373.01
84,85,1.0649989393646653,0.3094270348106858,698.498,20428.13
85,86,1.0649989393646653,0.3094270348106858,715.15,20411.505
86,87,1.0649989393646653,0.3094270348106858,697.745,20370.209
87,88,1.065000678451245,0.3094278109395722,711.017,20382.679
88,89,1.065000678451245,0.3094278109395722,698.729,20338.664
89,90,1.065000678451245,0.3094278109395722,741.299,20845.433
90,91,1.065000678451245,0.3094278109395722,684.879,20631.142
91,92,1.065000678451245,0.3094278109395722,714.444,20893.862
92,93,1.065000678451245,0.3094278109395722,759.016,20906.33
93,94,1.065000678451245,0.3094278109395722,678.902,20217.449
94,95,1.065000678451245,0.3094278109395722,695.606,20090.529
95,96,1.065000678451245,0.3094278109395722,671.807,20432.693
96,97,1.065000678451245,0.3094278109395722,703.872,20829.547
97,98,1.065000678451245,0.3094278109395722,708.555,20361.433
98,99,1.065000678451245,0.3094278109395722,665.627,20309.624
99,100,1.065000678451245,0.3094278109395722,668.6,20729.552
100,101,1.065000678451245,0.3094278109395722,722.532,21297.837
101,102,1.065000678451245,0.3094278109395722,743.9,21187.537
102,103,1.065000678451245,0.3094278109395722,739.31,20507.895
103,104,1.065000678451245,0.3094278109395722,750.381,20636.355
104,105,1.065000678451245,0.3094278109395722,707.706,20686.49
105,106,1.065000678451245,0.3094278109395722,749.663,21021.805
106,107,1.065000678451245,0.3094278109395722,766.298,20837.443
107,108,1.065000678451245,0.3094278109395722,694.495,20601.051
108,109,1.065000678451245,0.3094278109395722,685.791,20157.374
109,110,1.065000678451245,0.3094278109395722,691.226,20357.446
110,111,1.065000678451245,0.3094278109395722,721.979,20579.422
111,112,1.065000678451245,0.3094278109395722,690.158,20372.975
112,113,1.065000678451245,0.3094278109395722,692.303,20424.049
113,114,1.065000678451245,0.3094278109395722,717.4,20715.764
114,115,1.065000678451245,0.3094278109395722,712.328,20594.344
